Product,Season,Location,Price (₹)
Salt,Monsoon,Bangalore,13.98
Sugar,Winter,Pune,40.14
Rice,Monsoon,Ahmedabad,46.63
Wheat flour (Atta),Winter,Kolkata,44.18
Maida (Refined flour),Summer,Bangalore,38.59
Gram flour (Besan),Monsoon,Hyderabad,69.45
Corn flour,Monsoon,Lucknow,57.34
Potato,Monsoon,Jaipur,34.96
Onion,Summer,Ahmedabad,52.75
Tomato,Summer,Chennai,27.44
Cabbage,Winter,Mumbai,18.22
Capsicum,Summer,Lucknow,57.77
Carrot,Summer,Mumbai,44.78
Green chili,Winter,Lucknow,43.53
Coriander leaves,Monsoon,Jaipur,18.82
Garlic,Monsoon,Mumbai,68.66
Ginger,Winter,Ahmedabad,72.32
Lemon,Monsoon,Jaipur,37.57
Milk,Winter,Kolkata,69.3
Paneer,Summer,Mumbai,224.26
Butter,Summer,Bangalore,500.48
Ghee,Winter,Bangalore,691.26
Cheese,Winter,Mumbai,395.76
Curd / Yogurt,Monsoon,Jaipur,40.59
Eggs,Winter,Kolkata,81.35
Chicken,Summer,Chennai,220.91
Refined oil,Summer,Kolkata,169.18
Mustard oil,Summer,Chennai,130.15
Vanaspati / Dalda,Summer,Kolkata,126.77
Coconut oil,Monsoon,Pune,196.68
Turmeric powder,Winter,Ahmedabad,119.05
Red chili powder,Summer,Lucknow,214.33
Cumin seeds,Monsoon,Kolkata,245.89
Coriander powder,Monsoon,Lucknow,125.32
Garam masala,Monsoon,Delhi,206.23
Black salt,Winter,Chennai,70.92
Chaat masala,Winter,Mumbai,122.1
Pepper powder,Monsoon,Jaipur,401.17
Mustard seeds,Winter,Delhi,86.94
Bread,Monsoon,Mumbai,36.34
Pav / Buns,Summer,Chennai,21.63
Burger buns,Monsoon,Delhi,38.75
Noodles,Summer,Hyderabad,41.73
Idli / Dosa batter,Winter,Kolkata,74.31
Tomato ketchup,Winter,Kolkata,96.83
Green chutney,Monsoon,Lucknow,82.85
Tamarind chutney,Monsoon,Bangalore,87.07
Schezwan sauce,Summer,Ahmedabad,85.62
Mayonnaise,Winter,Chennai,109.97
Vinegar,Winter,Mumbai,38.77
Soya sauce,Monsoon,Jaipur,42.74
Tea leaves,Summer,Kolkata,281.84
Coffee powder,Summer,Ahmedabad,410.33
Sugar syrup,Monsoon,Kolkata,29.42
Ice cubes,Summer,Chennai,6.96
Lemon juice,Summer,Pune,37.14
"Flavoring syrups (rose, khus, etc.)",Summer,Hyderabad,132.36
Milk powder,Monsoon,Ahmedabad,404.3
"Dry fruits (cashew, almond, raisins)",Summer,Delhi,488.82
"Essence (vanilla, rose, etc.)",Summer,Lucknow,303.19
Corn starch,Winter,Ahmedabad,102.66
Condensed milk,Summer,Chennai,86.03
Salt,Winter,Ahmedabad,10.83
Sugar,Monsoon,Hyderabad,40.1
Rice,Summer,Delhi,62.99
Wheat flour (Atta),Winter,Hyderabad,28.21
Maida (Refined flour),Monsoon,Chennai,27.39
Gram flour (Besan),Winter,Delhi,111.53
Corn flour,Summer,Lucknow,51.05
Potato,Monsoon,Bangalore,31.81
Onion,Winter,Lucknow,40.18
Tomato,Summer,Kolkata,78.53
Cabbage,Winter,Hyderabad,29.52
Capsicum,Winter,Mumbai,48.31
Carrot,Monsoon,Kolkata,41.05
Green chili,Summer,Hyderabad,67.54
Coriander leaves,Summer,Pune,11.38
Garlic,Summer,Jaipur,107.82
Ginger,Monsoon,Jaipur,55.7
Lemon,Winter,Delhi,54.58
Milk,Summer,Jaipur,74.08
Paneer,Summer,Pune,285.13
Butter,Winter,Hyderabad,460.23
Ghee,Summer,Hyderabad,770.29
Cheese,Winter,Mumbai,428.3
Curd / Yogurt,Summer,Bangalore,46.39
Eggs,Winter,Chennai,108.42
Chicken,Monsoon,Chennai,264.69
Refined oil,Monsoon,Bangalore,145.54
Mustard oil,Summer,Hyderabad,127.1
Vanaspati / Dalda,Winter,Ahmedabad,123.88
Coconut oil,Monsoon,Bangalore,226.91
Turmeric powder,Winter,Pune,123.0
Red chili powder,Monsoon,Pune,150.81
Cumin seeds,Winter,Bangalore,162.22
Coriander powder,Monsoon,Delhi,116.63
Garam masala,Summer,Hyderabad,266.76
Black salt,Monsoon,Jaipur,91.02
Chaat masala,Winter,Chennai,112.03
Pepper powder,Winter,Hyderabad,421.01
Mustard seeds,Summer,Chennai,118.5
Bread,Summer,Kolkata,37.21
Pav / Buns,Monsoon,Lucknow,18.43
Burger buns,Summer,Delhi,34.33
Noodles,Summer,Lucknow,26.23
Idli / Dosa batter,Winter,Jaipur,79.54
Tomato ketchup,Monsoon,Mumbai,113.52
